Partei,Monat,durchschnittlicher Farbanteil
spdde,2014-06,0.0
spdde,2014-07,0.0
spdde,2014-08,0.0
spdde,2014-09,0.0
spdde,2014-10,0.0
spdde,2014-11,0.0
spdde,2014-12,0.0
spdde,2015-01,0.0
spdde,2015-02,0.0
spdde,2015-03,0.0
spdde,2015-04,0.0
spdde,2015-05,0.0
spdde,2015-06,0.0
spdde,2015-07,0.0
spdde,2015-08,0.0
spdde,2015-09,0.0
spdde,2015-10,0.0
spdde,2015-11,0.0
spdde,2015-12,0.0
spdde,2016-01,0.0
spdde,2016-02,0.0
spdde,2016-03,0.0
spdde,2016-04,0.0
spdde,2016-05,0.0
spdde,2016-06,0.0
spdde,2016-07,0.0
spdde,2016-08,0.0
spdde,2016-09,0.0
spdde,2016-10,0.004
spdde,2016-11,0.0766
spdde,2016-12,0.0174
spdde,2017-01,0.0149
spdde,2017-02,0.0373
spdde,2017-03,0.0578
spdde,2017-04,0.0026
spdde,2017-05,0.0016
spdde,2017-06,0.0598
spdde,2017-07,0.0053
spdde,2017-08,0.0348
spdde,2017-09,0.0338
spdde,2017-10,0.0
spdde,2017-11,0.0008
spdde,2017-12,0.0368
spdde,2018-01,0.0186
spdde,2018-02,0.0228
spdde,2018-03,0.007
spdde,2018-04,0.04
spdde,2018-05,0.0002
spdde,2018-06,0.0
spdde,2018-07,0.1396
spdde,2018-08,0.0
spdde,2018-09,0.0938
spdde,2018-10,0.0168
spdde,2018-11,0.016
spdde,2018-12,0.0233
spdde,2019-01,0.0183
spdde,2019-02,0.127
spdde,2019-03,0.1165
spdde,2019-04,0.0662
spdde,2019-05,0.0408
spdde,2019-06,0.056
spdde,2019-07,0.0429
spdde,2019-08,0.1551
spdde,2019-09,0.0742
spdde,2019-10,0.0577
spdde,2019-11,0.1196
spdde,2019-12,0.0669
spdde,2020-01,0.0431
spdde,2020-02,0.1848
spdde,2020-03,0.0158
spdde,2020-04,0.003
spdde,2020-05,0.0164
spdde,2020-06,0.0052
spdde,2020-07,0.0122
spdde,2020-08,0.0523
spdde,2020-09,0.0
spdde,2020-10,0.0794
spdde,2020-11,0.1457
spdde,2020-12,0.1125
spdde,2021-01,0.1793
spdde,2021-02,0.3697
spdde,2021-03,0.4155
spdde,2021-04,0.3602
spdde,2021-05,0.2472
spdde,2021-06,0.3175
spdde,2021-07,0.2635
spdde,2021-08,0.2562
spdde,2021-09,0.2934
spdde,2021-10,0.1646
spdde,2021-11,0.2812
spdde,2021-12,0.1723
spdde,2022-01,0.2626
spdde,2022-02,0.1452
spdde,2022-03,0.1745
spdde,2022-04,0.1115
spdde,2022-05,0.1247
spdde,2022-06,0.2814
spdde,2022-07,0.1517
spdde,2022-08,0.1845
spdde,2022-09,0.3079
spdde,2022-10,0.1549
spdde,2022-11,0.257
spdde,2022-12,0.1559
spdde,2023-01,0.4581
spdde,2023-02,0.2063
spdde,2023-03,0.4007
spdde,2023-04,0.5135
spdde,2023-05,0.2686
spdde,2023-06,0.2579
spdde,2023-07,0.3017
spdde,2023-08,0.2501
spdde,2023-09,0.6648
spdde,2023-10,0.2963
spdde,2023-11,0.3188
spdde,2023-12,0.3151
spdde,2024-01,0.1943
spdde,2024-02,0.1792
spdde,2024-03,0.3839
spdde,2024-04,0.1951
spdde,2024-05,0.2603
spdde,2024-06,0.1656
spdde,2024-07,0.1783
spdde,2024-08,0.1325
spdde,2024-09,0.1325
spdde,2024-10,0.2742
spdde,2024-11,0.1202
spdde,2024-12,0.2107
